BodyweightKg,BestSquatKg,BestDeadliftKg,RelativeSquatStrength,RelativeDeadliftStrength,Equipment_Raw,Equipment_Single-ply,Equipment_Wraps,Sex_M,AgeCategoryEncoded
98.6,200.0,227.5,2.028397565922921,2.3073022312373226,0.0,0.0,1.0,1.0,3.0
81.5,180.0,227.5,2.208588957055215,2.791411042944785,1.0,0.0,0.0,1.0,1.0
73.6,190.0,205.0,2.581521739130435,2.785326086956522,1.0,0.0,0.0,1.0,2.0
115.55,260.0,272.5,2.250108178277802,2.358286456079619,1.0,0.0,0.0,0.0,2.0
80.81,200.0,167.5,2.4749412201460212,2.072763271872293,1.0,0.0,0.0,1.0,0.0
107.1,235.0,240.0,2.1942110177404297,2.2408963585434174,1.0,0.0,0.0,1.0,1.0
49.53,112.5,140.0,2.2713506965475467,2.826569755703614,1.0,0.0,0.0,1.0,2.0
94.0,142.5,185.0,1.5159574468085106,1.9680851063829787,1.0,0.0,0.0,1.0,0.0
66.5,92.5,82.5,1.3909774436090225,1.2406015037593985,0.0,1.0,0.0,1.0,1.0
87.35,212.5,272.5,2.4327418431597025,3.1196336576989125,0.0,0.0,1.0,1.0,2.0
72.8,162.5,222.5,2.232142857142857,3.0563186813186816,1.0,0.0,0.0,0.0,1.0
108.41,272.16,290.3,2.5104695138824833,2.677797251176091,0.0,0.0,1.0,1.0,2.0
81.72,230.0,275.0,2.8144884973078805,3.3651492902594224,1.0,0.0,0.0,0.0,1.0
74.4,167.5,170.0,2.251344086021505,2.2849462365591395,0.0,0.0,1.0,1.0,2.0
78.65,81.7,83.9,1.038779402415766,1.066751430387794,0.0,0.0,1.0,0.0,3.0
88.9,92.5,120.5,1.0404949381327333,1.3554555680539933,0.0,0.0,1.0,0.0,3.0
82.5,156.49,165.56,1.896848484848485,2.006787878787879,1.0,0.0,0.0,1.0,0.0
47.11,52.5,100.0,1.1144130757800892,2.1226915729144555,1.0,0.0,0.0,1.0,1.0
113.9,142.5,190.0,1.251097453906936,1.6681299385425812,1.0,0.0,0.0,0.0,6.0
91.1,267.5,305.0,2.936333699231614,3.347969264544457,0.0,0.0,1.0,0.0,2.0
74.9,100.0,125.0,1.3351134846461947,1.6688918558077435,1.0,0.0,0.0,0.0,4.0
79.3,202.5,177.5,2.5535939470365703,2.238335435056747,1.0,0.0,0.0,1.0,0.0
63.2,115.0,137.5,1.8196202531645569,2.175632911392405,1.0,0.0,0.0,1.0,2.0
89.9,140.0,152.5,1.557285873192436,1.6963292547274749,1.0,0.0,0.0,1.0,2.0
68.2,195.0,242.5,2.859237536656891,3.5557184750733137,1.0,0.0,0.0,1.0,1.0
145.1,280.0,280.0,1.9297036526533426,1.9297036526533426,1.0,0.0,0.0,1.0,2.0
118.9,112.5,125.0,0.9461732548359966,1.0513036164844407,0.0,0.0,1.0,0.0,2.0
63.2,70.0,100.0,1.1075949367088607,1.5822784810126582,0.0,1.0,0.0,1.0,5.0
51.71,58.97,124.74,1.1403983755559852,2.4122993618255655,1.0,0.0,0.0,1.0,5.0
115.14,405.0,370.0,3.5174570088587807,3.213479242661108,1.0,0.0,0.0,1.0,2.0
88.8,215.0,265.0,2.421171171171171,2.9842342342342345,1.0,0.0,0.0,1.0,2.0
150.35,292.5,305.0,1.9454605919521117,2.0285999334885267,1.0,0.0,0.0,0.0,1.0
132.15,207.5,220.0,1.5701853953840332,1.6647748770336739,1.0,0.0,0.0,1.0,0.0
103.85,217.5,272.5,2.094366875300915,2.6239768897448243,1.0,0.0,0.0,1.0,2.0
34.56,60.0,75.0,1.736111111111111,2.170138888888889,1.0,0.0,0.0,1.0,0.0
64.4,217.5,220.0,3.3773291925465836,3.416149068322981,1.0,0.0,0.0,1.0,3.0
82.4,225.0,250.0,2.7305825242718447,3.0339805825242716,1.0,0.0,0.0,0.0,1.0
74.9,110.0,130.0,1.4686248331108143,1.7356475300400533,1.0,0.0,0.0,1.0,2.0
60.0,112.5,127.5,1.875,2.125,0.0,1.0,0.0,1.0,2.0
82.7,215.0,175.0,2.599758162031439,2.1160822249093107,1.0,0.0,0.0,1.0,1.0
102.4,140.0,240.0,1.3671875,2.34375,1.0,0.0,0.0,0.0,2.0
94.35,312.98,274.42,3.3172231054584,2.908532061473238,0.0,0.0,1.0,1.0,2.0
119.4,267.5,282.5,2.2403685092127303,2.365996649916248,1.0,0.0,0.0,0.0,2.0
89.72,208.65,249.48,2.3255684351315202,2.780650913954525,0.0,0.0,1.0,1.0,1.0
59.6,115.0,117.5,1.929530201342282,1.971476510067114,1.0,0.0,0.0,0.0,2.0
79.7,227.5,250.0,2.8544542032622333,3.1367628607277287,0.0,1.0,0.0,1.0,1.0
66.6,90.0,122.5,1.3513513513513515,1.8393393393393396,0.0,0.0,1.0,0.0,2.0
72.8,120.0,170.0,1.6483516483516485,2.3351648351648353,0.0,0.0,1.0,1.0,2.0
120.75,215.0,272.5,1.7805383022774328,2.256728778467909,1.0,0.0,0.0,0.0,2.0
55.2,52.5,92.5,0.9510869565217391,1.6757246376811594,1.0,0.0,0.0,1.0,3.0
97.1,197.5,210.0,2.0339855818743566,2.1627188465499487,1.0,0.0,0.0,1.0,0.0
111.95,240.0,272.5,2.1438142027690934,2.4341223760607416,1.0,0.0,0.0,0.0,4.0
55.43,100.0,137.5,1.8040772145047808,2.480606169944074,0.0,0.0,1.0,1.0,2.0
74.8,200.0,272.5,2.6737967914438503,3.643048128342246,1.0,0.0,0.0,1.0,1.0
102.1,137.5,142.5,1.346718903036239,1.3956904995102841,0.0,0.0,1.0,1.0,2.0
79.4,160.0,145.0,2.0151133501259446,1.8261964735516372,0.0,1.0,0.0,1.0,1.0
76.34,142.5,167.5,1.866649200943149,2.1941315168980875,1.0,0.0,0.0,1.0,0.0
70.2,127.5,167.5,1.8162393162393162,2.386039886039886,0.0,1.0,0.0,1.0,1.0
99.34,124.7,158.8,1.255284880209382,1.5985504328568554,1.0,0.0,0.0,0.0,0.0
110.0,290.0,280.0,2.6363636363636362,2.5454545454545454,1.0,0.0,0.0,1.0,2.0
81.9,175.0,215.0,2.1367521367521367,2.625152625152625,1.0,0.0,0.0,1.0,2.0
104.42,205.0,165.0,1.9632254357402796,1.5801570580348592,1.0,0.0,0.0,1.0,2.0
72.3,188.24,226.8,2.6035961272475796,3.1369294605809133,0.0,1.0,0.0,1.0,2.0
86.55,225.0,260.0,2.5996533795493937,3.004043905257077,1.0,0.0,0.0,0.0,2.0
54.2,85.0,137.5,1.5682656826568264,2.53690036900369,1.0,0.0,0.0,0.0,4.0
103.55,255.0,292.5,2.4625784645098987,2.82472235634959,1.0,0.0,0.0,1.0,2.0
89.5,300.0,240.0,3.35195530726257,2.6815642458100557,1.0,0.0,0.0,0.0,2.0
74.0,82.5,135.0,1.114864864864865,1.8243243243243243,0.0,0.0,1.0,1.0,1.0
63.5,102.5,137.5,1.6141732283464567,2.1653543307086616,1.0,0.0,0.0,1.0,2.0
137.9,312.5,287.5,2.266134880348078,2.084844089920232,0.0,0.0,1.0,1.0,2.0
89.8,137.5,170.0,1.5311804008908687,1.893095768374165,1.0,0.0,0.0,1.0,1.0
106.14,257.5,242.5,2.4260410778217447,2.28471829658941,1.0,0.0,0.0,1.0,2.0
62.75,100.0,150.0,1.593625498007968,2.3904382470119523,1.0,0.0,0.0,1.0,0.0
54.61,95.0,107.5,1.7396081303790514,1.968503937007874,1.0,0.0,0.0,0.0,2.0
67.5,102.5,137.5,1.5185185185185186,2.037037037037037,1.0,0.0,0.0,1.0,3.0
109.2,237.5,280.0,2.1749084249084247,2.564102564102564,1.0,0.0,0.0,1.0,1.0
67.4,120.0,145.0,1.780415430267062,2.1513353115727,1.0,0.0,0.0,1.0,3.0
55.2,75.0,100.0,1.358695652173913,1.8115942028985506,1.0,0.0,0.0,1.0,3.0
78.3,232.5,267.5,2.9693486590038316,3.4163473818646235,0.0,0.0,1.0,0.0,2.0
62.95,80.0,110.0,1.2708498808578237,1.7474185861795075,0.0,0.0,1.0,0.0,2.0
59.0,165.0,170.0,2.7966101694915255,2.8813559322033897,1.0,0.0,0.0,0.0,2.0
80.6,185.0,195.0,2.295285359801489,2.4193548387096775,1.0,0.0,0.0,1.0,2.0
102.0,212.5,215.0,2.0833333333333335,2.107843137254902,0.0,1.0,0.0,1.0,1.0
127.7,215.0,215.0,1.6836335160532498,1.6836335160532498,1.0,0.0,0.0,0.0,1.0
104.42,332.5,315.0,3.184255889676307,3.0166634744301857,1.0,0.0,0.0,1.0,3.0
127.7,210.0,272.5,1.644479248238058,2.133907595927956,1.0,0.0,0.0,0.0,3.0
88.77,183.7,158.8,2.0693928128872368,1.7888926439112314,1.0,0.0,0.0,0.0,0.0
65.2,110.0,127.5,1.687116564417178,1.955521472392638,0.0,1.0,0.0,0.0,1.0
62.3,192.5,182.5,3.0898876404494384,2.929373996789727,0.0,0.0,1.0,0.0,2.0
108.95,232.5,255.0,2.1340064249655804,2.340523175768701,0.0,0.0,1.0,1.0,4.0
99.3,215.0,250.0,2.16515609264854,2.5176233635448138,1.0,0.0,0.0,1.0,2.0
65.9,122.5,167.5,1.8588770864946889,2.541729893778452,1.0,0.0,0.0,1.0,1.0
90.5,172.5,187.5,1.9060773480662982,2.0718232044198897,1.0,0.0,0.0,0.0,2.0
82.2,115.0,157.5,1.3990267639902676,1.9160583941605838,0.0,1.0,0.0,1.0,1.0
90.1,202.5,235.0,2.2475027746947838,2.608213096559379,1.0,0.0,0.0,0.0,1.0
97.9,175.0,190.0,1.7875383043922368,1.9407558733401429,0.0,0.0,1.0,1.0,2.0
81.15,219.99,210.92,2.7109057301293897,2.599137399876771,0.0,0.0,1.0,0.0,3.0
79.25,105.0,130.0,1.3249211356466877,1.640378548895899,1.0,0.0,0.0,1.0,0.0
59.45,130.0,142.5,2.1867115222876365,2.3969722455845246,1.0,0.0,0.0,1.0,2.0
80.6,182.5,250.0,2.264267990074442,3.101736972704715,0.0,1.0,0.0,1.0,2.0
65.6,232.5,242.5,3.544207317073171,3.6966463414634148,1.0,0.0,0.0,1.0,2.0
127.6,185.0,252.5,1.4498432601880877,1.9788401253918497,0.0,0.0,1.0,0.0,2.0
97.65,252.5,260.0,2.5857654889912953,2.662570404505888,1.0,0.0,0.0,1.0,3.0
98.4,210.0,260.0,2.1341463414634143,2.6422764227642275,1.0,0.0,0.0,0.0,2.0
90.0,282.5,295.0,3.138888888888889,3.2777777777777777,1.0,0.0,0.0,0.0,2.0
99.97,345.0,317.5,3.451035310593178,3.175952785835751,0.0,0.0,1.0,1.0,1.0
68.25,125.0,167.5,1.8315018315018314,2.4542124542124544,1.0,0.0,0.0,0.0,2.0
73.12,90.0,105.0,1.2308533916849014,1.435995623632385,1.0,0.0,0.0,1.0,0.0
93.0,205.0,220.0,2.204301075268817,2.3655913978494625,1.0,0.0,0.0,1.0,1.0
81.65,140.0,175.0,1.7146356399265155,2.1432945499081444,0.0,0.0,0.0,1.0,2.0
124.56,267.5,227.5,2.147559409120103,1.8264290301862556,1.0,0.0,0.0,1.0,3.0
70.2,132.5,152.5,1.8874643874643875,2.1723646723646723,0.0,0.0,1.0,1.0,0.0
99.9,215.0,287.5,2.152152152152152,2.8778778778778777,0.0,0.0,1.0,0.0,2.0
59.19,137.5,150.0,2.3230275384355465,2.5342118601115056,0.0,0.0,1.0,0.0,2.0
103.42,195.0,240.0,1.8855153742022819,2.3206343067105006,0.0,1.0,0.0,1.0,2.0
92.0,72.5,162.5,0.7880434782608695,1.766304347826087,1.0,0.0,0.0,1.0,4.0
88.36,265.0,235.0,2.999094612947035,2.6595744680851063,0.0,0.0,0.0,1.0,2.0
65.4,110.0,125.0,1.6819571865443423,1.91131498470948,0.0,0.0,1.0,0.0,2.0
100.88,127.5,135.0,1.263877874702617,1.3382236320380652,0.0,1.0,0.0,0.0,5.0
73.0,175.0,212.5,2.3972602739726026,2.910958904109589,1.0,0.0,0.0,0.0,2.0
91.4,182.5,195.0,1.99671772428884,2.133479212253829,0.0,1.0,0.0,1.0,2.0
122.5,252.5,330.0,2.061224489795918,2.693877551020408,0.0,0.0,1.0,0.0,4.0
100.0,195.0,230.0,1.95,2.3,1.0,0.0,0.0,1.0,2.0
89.2,195.0,252.5,2.18609865470852,2.8307174887892375,0.0,0.0,1.0,1.0,2.0
123.7,235.0,262.5,1.8997574777687953,2.122069523039612,1.0,0.0,0.0,0.0,2.0
59.6,95.0,130.0,1.593959731543624,2.1812080536912752,1.0,0.0,0.0,1.0,0.0
74.84,137.5,145.0,1.8372528059861035,1.9374665954035275,0.0,1.0,0.0,1.0,2.0
90.55,245.0,245.0,2.70568746548868,2.70568746548868,1.0,0.0,0.0,1.0,2.0
100.4,230.0,230.0,2.290836653386454,2.290836653386454,1.0,0.0,0.0,1.0,1.0
97.6,185.0,215.0,1.8954918032786887,2.2028688524590163,1.0,0.0,0.0,0.0,2.0
73.37,130.0,150.0,1.771841352051247,2.0444323292899003,0.0,0.0,1.0,1.0,3.0
75.9,190.0,192.5,2.5032938076416333,2.5362318840579707,0.0,0.0,1.0,1.0,4.0
91.2,52.5,97.5,0.575657894736842,1.069078947368421,1.0,0.0,0.0,1.0,1.0
99.6,200.0,235.0,2.0080321285140563,2.359437751004016,1.0,0.0,0.0,0.0,2.0
66.0,175.0,190.0,2.6515151515151514,2.878787878787879,1.0,0.0,0.0,0.0,1.0
89.3,140.0,167.5,1.5677491601343785,1.8756998880179172,1.0,0.0,0.0,1.0,5.0
109.3,195.0,200.0,1.7840805123513266,1.8298261665141813,0.0,0.0,1.0,1.0,2.0
71.9,192.5,222.5,2.677329624478442,3.0945757997218357,1.0,0.0,0.0,0.0,2.0
191.6,225.0,135.0,1.174321503131524,0.7045929018789144,1.0,0.0,0.0,0.0,4.0
88.2,175.0,212.5,1.984126984126984,2.4092970521541948,1.0,0.0,0.0,1.0,1.0
79.33,140.0,182.5,1.7647800327744863,2.3005168284381696,1.0,0.0,0.0,1.0,3.0
60.0,87.5,115.0,1.4583333333333333,1.9166666666666667,0.0,1.0,0.0,0.0,1.0
77.3,120.0,145.0,1.5523932729624839,1.8758085381630014,1.0,0.0,0.0,0.0,1.0
81.7,150.0,205.0,1.835985312117503,2.5091799265605874,1.0,0.0,0.0,1.0,3.0
47.54,112.5,130.0,2.3664282709297435,2.7345393352965925,0.0,0.0,1.0,1.0,3.0
74.84,125.0,170.0,1.6702298236237305,2.2715125601282735,0.0,0.0,1.0,1.0,2.0
88.59,225.0,242.5,2.5397900440230274,2.737329269669263,0.0,1.0,0.0,0.0,1.0
101.4,195.0,252.5,1.923076923076923,2.4901380670611437,0.0,1.0,0.0,0.0,3.0
88.99,192.5,235.0,2.1631644004944377,2.6407461512529498,0.0,0.0,1.0,0.0,2.0
59.3,152.5,162.5,2.5716694772344013,2.740303541315346,1.0,0.0,0.0,0.0,2.0
106.55,200.0,282.5,1.8770530267480057,2.651337400281558,1.0,0.0,0.0,1.0,2.0
